[Info] backend: in-process zlib 1.3.2 static library
[Info] corpus: C:\Users\lowei\proj\lzfse2\claw-code (1.4G)
[Info] swift_tar: C:\Users\lowei\proj\lzfse2\swift_tar\release\swift_tar.exe

== Encode: peak working set vs -n ==
-n      real(s)   peakWS(bytes)   peakWS(MB)
4       15.62     58261504        55.6
8       9.71      79212544        75.5
12      7.79      97652736        93.1
16      7.58      119463936       113.9
20      7.47      146599936       139.8
24      7.43      158048256       150.7
28      7.50      168865792       161.0
32      7.44      185323520       176.7
36      7.51      205258752       195.8
40      7.20      218152960       208.0

== Decode: peak working set vs -n ==
-n      real(s)   peakWS(bytes)   peakWS(MB)
4       10.79     47194112        45.0
8       10.74     45019136        42.9
12      10.46     46604288        44.4
16      9.92      46592000        44.4
20      10.07     45068288        43.0
24      10.05     44679168        42.6
28      10.45     45379584        43.3
32      10.58     46903296        44.7
36      10.97     46170112        44.0
40      9.72      46235648        44.1

[Info] Windows native-zlib RSS/time sweep completed.
